,IntervalDist,Year
0,0,Year1
1,2,Year1
2,1,Year1
3,2,Year1
4,4,Year1
5,4,Year1
6,4,Year1
7,7,Year1
8,4,Year1
9,5,Year1
10,4,Year1
11,7,Year1
12,4,Year1
13,0,Year1
14,10,Year1
15,20,Year1
16,21,Year1
17,0,Year1
18,10,Year1
19,20,Year1
20,21,Year1
21,0,Year1
22,47,Year1
23,0,Year1
24,47,Year1
25,0,Year1
26,3,Year1
27,4,Year1
28,0,Year1
29,3,Year1
30,4,Year1
31,0,Year1
32,22,Year1
33,21,Year1
34,5,Year1
35,0,Year1
36,22,Year1
37,21,Year1
38,5,Year1
39,0,Year1
40,4,Year1
41,8,Year1
42,0,Year1
43,9,Year1
44,16,Year1
45,25,Year1
46,1,Year1
47,0,Year1
48,2,Year1
49,3,Year1
50,3,Year1
51,16,Year1
52,4,Year1
53,5,Year1
54,3,Year1
55,4,Year1
56,4,Year1
57,5,Year1
58,0,Year1
59,36,Year1
60,4,Year1
61,5,Year1
62,3,Year1
63,4,Year1
64,0,Year1
65,36,Year1
66,4,Year1
67,5,Year1
68,3,Year1
69,4,Year1
70,0,Year1
71,1,Year1
72,18,Year1
73,5,Year1
74,8,Year1
75,3,Year1
76,0,Year1
77,1,Year1
78,18,Year1
79,5,Year1
80,8,Year1
81,3,Year1
82,0,Year1
83,4,Year1
84,8,Year1
85,5,Year1
86,0,Year1
87,2,Year1
88,4,Year1
89,2,Year1
90,12,Year1
91,0,Year1
92,2,Year1
93,4,Year1
94,2,Year1
95,12,Year1
96,0,Year1
97,3,Year1
98,4,Year1
99,4,Year1
100,4,Year1
101,8,Year1
102,8,Year1
103,10,Year1
104,5,Year1
105,0,Year1
106,4,Year1
107,4,Year1
108,11,Year1
109,8,Year1
110,10,Year1
111,10,Year1
112,3,Year1
113,0,Year1
114,20,Year1
115,14,Year1
116,0,Year1
117,18,Year1
118,0,Year1
119,3,Year1
120,4,Year1
121,4,Year1
122,9,Year1
123,7,Year1
124,8,Year1
125,8,Year1
126,0,Year1
127,4,Year1
128,4,Year1
129,5,Year1
130,4,Year1
131,10,Year1
132,4,Year1
133,2,Year1
134,0,Year1
135,1,Year1
136,1,Year1
137,0,Year1
138,0,Year1
139,0,Year1
140,0,Year1
141,0,Year1
142,3,Year1
143,5,Year1
144,0,Year1
145,4,Year1
146,6,Year1
147,3,Year1
148,3,Year1
149,4,Year1
150,6,Year1
151,4,Year1
152,4,Year1
153,8,Year1
154,0,Year1
155,0,Year1
156,4,Year1
157,0,Year1
158,4,Year1
159,6,Year1
160,3,Year1
161,3,Year1
162,4,Year1
163,6,Year1
164,4,Year1
165,4,Year1
166,8,Year1
167,0,Year1
168,0,Year1
169,4,Year1
170,0,Year1
171,6,Year1
172,37,Year1
173,0,Year1
174,4,Year1
175,4,Year1
176,3,Year1
177,4,Year1
178,0,Year1
179,4,Year1
180,4,Year1
181,3,Year1
182,4,Year1
183,0,Year1
184,5,Year1
185,5,Year1
186,4,Year1
187,4,Year1
188,6,Year1
189,0,Year1
190,1,Year1
191,5,Year1
192,3,Year1
193,4,Year1
194,3,Year1
195,3,Year1
196,8,Year1
197,8,Year1
198,1,Year1
199,4,Year1
200,4,Year1
201,5,Year1
202,0,Year1
203,1,Year1
204,5,Year1
205,3,Year1
206,4,Year1
207,3,Year1
208,3,Year1
209,8,Year1
210,8,Year1
211,1,Year1
212,4,Year1
213,4,Year1
214,5,Year1
215,0,Year1
216,3,Year1
217,4,Year1
218,4,Year1
219,5,Year1
220,4,Year1
221,4,Year1
222,7,Year1
223,8,Year1
224,10,Year1
225,0,Year1
226,5,Year1
227,5,Year1
228,3,Year1
229,12,Year1
230,4,Year1
231,4,Year1
232,4,Year1
233,8,Year1
234,0,Year1
235,0,Year1
236,0,Year1
237,0,Year1
238,0,Year1
239,0,Year1
240,7,Year1
241,8,Year1
242,8,Year1
243,4,Year1
244,4,Year1
245,4,Year1
246,4,Year1
247,6,Year1
248,0,Year1
249,14,Year1
250,21,Year1
251,1,Year1
252,0,Year1
253,11,Year1
254,3,Year1
255,7,Year1
256,8,Year1
257,12,Year1
258,0,Year1
259,20,Year1
260,12,Year1
261,0,Year1
262,20,Year1
263,12,Year1
264,0,Year1
265,0,Year1
266,3,Year1
267,7,Year1
268,6,Year1
269,6,Year1
270,4,Year1
271,4,Year1
272,4,Year1
273,4,Year1
274,0,Year1
275,0,Year1
276,0,Year1
277,5,Year1
278,0,Year1
279,5,Year1
280,0,Year1
281,4,Year1
282,4,Year1
283,4,Year1
284,8,Year1
285,7,Year1
286,9,Year1
287,8,Year1
288,0,Year1
289,14,Year1
290,4,Year1
291,4,Year1
292,9,Year1
293,3,Year1
294,5,Year1
295,5,Year1
296,0,Year1
297,1,Year1
298,26,Year1
299,8,Year1
300,8,Year1
301,4,Year1
302,0,Year1
303,1,Year1
304,26,Year1
305,8,Year1
306,8,Year1
307,4,Year1
308,0,Year1
309,0,Year1
310,5,Year1
311,8,Year1
312,4,Year1
313,0,Year1
314,0,Year1
315,5,Year1
316,8,Year1
317,4,Year1
318,0,Year1
319,1,Year1
320,7,Year1
321,5,Year1
322,0,Year1
323,5,Year1
324,4,Year1
325,6,Year1
326,8,Year1
327,6,Year1
328,6,Year1
329,8,Year1
330,0,Year1
331,5,Year1
332,4,Year1
333,6,Year1
334,8,Year1
335,6,Year1
336,6,Year1
337,8,Year1
338,0,Year1
339,12,Year1
340,12,Year1
341,24,Year1
342,0,Year1
343,12,Year1
344,12,Year1
345,24,Year1
346,0,Year1
347,15,Year1
348,15,Year1
349,20,Year1
350,0,Year1
351,15,Year1
352,15,Year1
353,20,Year1
354,0,Year1
355,11,Year1
356,0,Year1
357,11,Year1
358,0,Year1
359,3,Year1
360,4,Year1
361,4,Year1
362,4,Year1
363,4,Year1
364,7,Year1
365,10,Year1
366,6,Year1
367,4,Year1
368,0,Year1
369,2,Year1
370,22,Year1
371,0,Year1
372,22,Year1
373,0,Year1
374,3,Year1
375,12,Year1
376,1,Year1
377,28,Year1
378,0,Year1
379,4,Year1
380,3,Year1
381,1,Year1
382,4,Year1
383,4,Year1
384,3,Year1
385,6,Year1
386,4,Year1
387,4,Year1
388,4,Year1
389,9,Year1
390,0,Year1
391,3,Year1
392,4,Year1
393,4,Year1
394,4,Year1
395,4,Year1
396,6,Year1
397,2,Year1
398,0,Year1
399,1,Year1
400,0,Year1
401,2,Year1
402,4,Year1
403,5,Year1
404,3,Year1
405,5,Year1
406,4,Year1
407,5,Year1
408,1,Year1
409,4,Year1
410,7,Year1
411,0,Year1
412,2,Year1
413,4,Year1
414,5,Year1
415,3,Year1
416,5,Year1
417,4,Year1
418,5,Year1
419,1,Year1
420,4,Year1
421,7,Year1
422,0,Year1
423,0,Year1
424,4,Year1
425,0,Year1
426,0,Year1
427,4,Year1
428,8,Year1
429,3,Year1
430,0,Year1
431,4,Year1
432,8,Year1
433,3,Year1
434,0,Year1
435,8,Year1
436,4,Year1
437,9,Year1
438,8,Year1
439,14,Year1
440,0,Year1
441,0,Year1
442,17,Year1
443,11,Year1
444,19,Year1
445,0,Year1
446,13,Year1
447,15,Year1
448,12,Year1
449,0,Year1
450,4,Year1
451,5,Year1
452,0,Year1
453,0,Year1
454,0,Year1
455,12,Year1
456,12,Year1
457,3,Year1
458,0,Year1
459,8,Year1
460,8,Year1
461,0,Year1
462,4,Year1
463,4,Year1
464,4,Year1
465,5,Year1
466,0,Year1
467,4,Year1
468,4,Year1
469,4,Year1
470,5,Year1
471,0,Year1
472,37,Year1
473,4,Year1
474,4,Year1
475,4,Year1
476,0,Year1
477,18,Year1
478,6,Year1
479,9,Year1
480,12,Year1
481,0,Year1
482,17,Year1
483,1,Year1
484,6,Year1
485,9,Year1
486,12,Year1
487,0,Year1
488,14,Year1
489,28,Year1
490,0,Year1
491,7,Year1
492,3,Year1
493,4,Year1
494,2,Year1
495,6,Year1
496,12,Year1
497,7,Year1
498,5,Year1
499,4,Year1
500,0,Year1
501,4,Year1
502,5,Year1
503,12,Year1
504,0,Year1
505,4,Year1
506,5,Year1
507,12,Year1
508,0,Year1
509,0,Year1
510,0,Year1
511,4,Year1
512,4,Year1
513,4,Year1
514,4,Year1
515,8,Year1
516,6,Year1
517,4,Year1
518,0,Year1
519,5,Year1
520,0,Year1
521,0,Year1
522,8,Year1
523,8,Year1
524,7,Year1
525,4,Year1
526,10,Year1
527,12,Year1
528,0,Year1
529,22,Year1
530,14,Year1
531,16,Year1
532,0,Year1
533,5,Year1
534,4,Year1
535,4,Year1
536,4,Year1
537,4,Year1
538,3,Year1
539,1,Year1
540,4,Year1
541,3,Year1
542,4,Year1
543,0,Year1
544,5,Year1
545,0,Year1
546,0,Year1
547,5,Year1
548,0,Year1
549,4,Year2
550,4,Year2
551,45,Year2
552,3,Year2
553,4,Year2
554,2,Year2
555,2,Year2
556,5,Year2
557,23,Year2
558,3,Year2
559,4,Year2
560,2,Year2
561,2,Year2
562,5,Year2
563,23,Year2
564,22,Year2
565,28,Year2
566,22,Year2
567,28,Year2
568,63,Year2
569,4,Year2
570,5,Year2
571,4,Year2
572,4,Year2
573,4,Year2
574,5,Year2
575,5,Year2
576,63,Year2
577,4,Year2
578,5,Year2
579,4,Year2
580,4,Year2
581,4,Year2
582,5,Year2
583,5,Year2
584,4,Year2
585,4,Year2
586,8,Year2
587,8,Year2
588,6,Year2
589,20,Year2
590,4,Year2
591,4,Year2
592,8,Year2
593,8,Year2
594,6,Year2
595,20,Year2
596,4,Year2
597,4,Year2
598,4,Year2
599,8,Year2
600,5,Year2
601,4,Year2
602,8,Year2
603,9,Year2
604,8,Year2
605,4,Year2
606,9,Year2
607,7,Year2
608,5,Year2
609,6,Year2
610,4,Year2
611,3,Year2
612,4,Year2
613,11,Year2
614,8,Year2
615,5,Year2
616,5,Year2
617,4,Year2
618,4,Year2
619,4,Year2
620,11,Year2
621,8,Year2
622,5,Year2
623,5,Year2
624,4,Year2
625,4,Year2
626,16,Year2
627,2,Year2
628,1,Year2
629,6,Year2
630,2,Year2
631,4,Year2
632,4,Year2
633,1,Year2
634,8,Year2
635,8,Year2
636,16,Year2
637,3,Year2
638,6,Year2
639,2,Year2
640,4,Year2
641,4,Year2
642,1,Year2
643,8,Year2
644,8,Year2
645,31,Year2
646,4,Year2
647,4,Year2
648,4,Year2
649,5,Year2
650,4,Year2
651,6,Year2
652,4,Year2
653,4,Year2
654,4,Year2
655,8,Year2
656,31,Year2
657,4,Year2
658,4,Year2
659,4,Year2
660,5,Year2
661,4,Year2
662,6,Year2
663,4,Year2
664,4,Year2
665,4,Year2
666,8,Year2
667,8,Year2
668,4,Year2
669,4,Year2
670,4,Year2
671,4,Year2
672,6,Year2
673,4,Year2
674,4,Year2
675,4,Year2
676,5,Year2
677,3,Year2
678,4,Year2
679,12,Year2
680,5,Year2
681,5,Year2
682,19,Year2
683,20,Year2
684,13,Year2
685,1,Year2
686,3,Year2
687,14,Year2
688,8,Year2
689,12,Year2
690,26,Year2
691,10,Year2
692,3,Year2
693,1,Year2
694,1,Year2
695,1,Year2
696,4,Year2
697,8,Year2
698,6,Year2
699,5,Year2
700,2,Year2
701,1,Year2
702,14,Year2
703,7,Year2
704,2,Year2
705,12,Year2
706,10,Year2
707,6,Year2
708,14,Year2
709,7,Year2
710,2,Year2
711,12,Year2
712,10,Year2
713,6,Year2
714,41,Year2
715,4,Year2
716,5,Year2
717,4,Year2
718,6,Year2
719,8,Year2
720,7,Year2
721,4,Year2
722,5,Year2
723,4,Year2
724,6,Year2
725,8,Year2
726,7,Year2
727,8,Year2
728,9,Year2
729,53,Year2
730,4,Year2
731,8,Year2
732,4,Year2
733,4,Year2
734,4,Year2
735,3,Year2
736,4,Year2
737,4,Year2
738,4,Year2
739,4,Year2
740,3,Year2
741,3,Year2
742,53,Year2
743,4,Year2
744,8,Year2
745,4,Year2
746,4,Year2
747,4,Year2
748,3,Year2
749,4,Year2
750,4,Year2
751,4,Year2
752,4,Year2
753,3,Year2
754,3,Year2
755,68,Year2
756,85,Year2
757,5,Year2
758,13,Year2
759,8,Year2
760,6,Year2
761,6,Year2
762,3,Year2
763,28,Year2
764,35,Year2
765,2,Year2
766,0,Year2
767,17,Year2
768,32,Year2
769,1,Year2
770,23,Year2
771,2,Year2
772,3,Year2
773,5,Year2
774,0,Year2
775,4,Year2
776,4,Year2
777,8,Year2
778,6,Year2
779,7,Year2
780,23,Year2
781,2,Year2
782,3,Year2
783,5,Year2
784,0,Year2
785,4,Year2
786,4,Year2
787,8,Year2
788,6,Year2
789,7,Year2
790,86,Year2
791,5,Year2
792,4,Year2
793,4,Year2
794,4,Year2
795,86,Year2
796,5,Year2
797,4,Year2
798,4,Year2
799,4,Year2
800,9,Year2
801,14,Year2
802,14,Year2
803,9,Year2
804,14,Year2
805,2,Year2
806,4,Year2
807,6,Year2
808,2,Year2
809,3,Year2
810,14,Year2
811,9,Year2
812,14,Year2
813,2,Year2
814,4,Year2
815,6,Year2
816,2,Year2
817,3,Year2
818,9,Year2
819,9,Year2
820,5,Year2
821,6,Year2
822,7,Year2
823,5,Year2
824,4,Year2
825,7,Year2
826,4,Year2
827,4,Year2
828,9,Year2
829,9,Year2
830,5,Year2
831,6,Year2
832,7,Year2
833,5,Year2
834,4,Year2
835,7,Year2
836,4,Year2
837,4,Year2
838,21,Year2
839,21,Year2
840,5,Year2
841,18,Year2
842,5,Year2
843,1,Year2
844,0,Year2
845,6,Year2
846,1,Year2
847,12,Year2
848,5,Year2
849,18,Year2
850,5,Year2
851,2,Year2
852,6,Year2
853,1,Year2
854,12,Year2
855,87,Year2
856,1,Year2
857,87,Year2
858,1,Year2
859,8,Year2
860,3,Year2
861,3,Year2
862,4,Year2
863,12,Year2
864,19,Year2
865,35,Year2
866,4,Year2
867,7,Year2
868,4,Year2
869,6,Year2
870,12,Year2
871,6,Year2
872,2,Year2
873,35,Year2
874,4,Year2
875,7,Year2
876,4,Year2
877,6,Year2
878,12,Year2
879,6,Year2
880,2,Year2
881,3,Year2
882,25,Year2
883,5,Year2
884,8,Year2
885,16,Year2
886,8,Year2
887,7,Year2
888,40,Year2
889,30,Year2
890,40,Year2
891,30,Year2
892,45,Year2
893,4,Year2
894,4,Year2
895,3,Year2
896,4,Year2
897,56,Year2
898,18,Year2
899,1,Year2
900,4,Year2
901,4,Year2
902,28,Year2
903,8,Year2
904,7,Year2
905,7,Year2
906,8,Year2
907,18,Year2
908,12,Year2
909,15,Year2
910,1,Year2
911,10,Year2
912,16,Year2
913,10,Year2
914,4,Year2
915,4,Year2
916,6,Year2
917,1,Year2
918,6,Year2
919,4,Year2
920,4,Year2
921,4,Year2
922,4,Year2
923,3,Year2
924,2,Year2
925,1,Year2
926,3,Year2
927,16,Year2
928,12,Year2
929,24,Year2
930,16,Year2
931,12,Year2
932,24,Year2
933,28,Year2
934,7,Year2
935,6,Year2
936,26,Year2
937,44,Year2
938,1,Year2
939,0,Year2
940,1,Year2
941,2,Year2
942,4,Year2
943,19,Year2
944,7,Year2
945,44,Year2
946,1,Year2
947,0,Year2
948,1,Year2
949,2,Year2
950,4,Year2
951,19,Year2
952,6,Year2
953,1,Year2
954,53,Year2
955,16,Year2
956,20,Year2
957,4,Year2
958,4,Year2
959,4,Year2
960,53,Year2
961,16,Year2
962,20,Year2
963,4,Year2
964,4,Year2
965,4,Year2
966,88,Year2
967,8,Year2
968,69,Year2
969,3,Year2
970,4,Year2
971,3,Year2
972,6,Year2
973,6,Year2
974,4,Year2
975,10,Year2
976,11,Year2
977,4,Year2
978,8,Year2
979,8,Year2
980,7,Year2
981,10,Year2
982,12,Year2
983,4,Year2
984,6,Year2
985,6,Year2
986,4,Year2
987,3,Year2
988,6,Year3
989,1,Year3
990,3,Year3
991,4,Year3
992,6,Year3
993,5,Year3
994,4,Year3
995,5,Year3
