,IntervalDist,Year
0,0,Year1
1,8,Year1
2,9,Year1
3,3,Year1
4,8,Year1
5,9,Year1
6,0,Year1
7,4,Year1
8,3,Year1
9,4,Year1
10,2,Year1
11,7,Year1
12,4,Year1
13,4,Year1
14,4,Year1
15,4,Year1
16,4,Year1
17,4,Year1
18,0,Year1
19,1,Year1
20,1,Year1
21,4,Year1
22,4,Year1
23,3,Year1
24,8,Year1
25,7,Year1
26,4,Year1
27,1,Year1
28,2,Year1
29,5,Year1
30,0,Year1
31,5,Year1
32,1,Year1
33,5,Year1
34,6,Year1
35,4,Year1
36,3,Year1
37,2,Year1
38,2,Year1
39,18,Year1
40,2,Year1
41,0,Year1
42,4,Year1
43,2,Year1
44,1,Year1
45,5,Year1
46,4,Year1
47,1,Year1
48,13,Year1
49,2,Year1
50,11,Year1
51,0,Year1
52,0,Year1
53,4,Year1
54,0,Year1
55,3,Year1
56,4,Year1
57,2,Year1
58,2,Year1
59,3,Year1
60,3,Year1
61,0,Year1
62,12,Year1
63,5,Year1
64,3,Year1
65,1,Year1
66,4,Year1
67,0,Year1
68,17,Year1
69,30,Year1
70,0,Year1
71,50,Year1
72,0,Year1
73,2,Year1
74,8,Year1
75,1,Year1
76,4,Year1
77,2,Year1
78,1,Year1
79,3,Year1
80,8,Year1
81,9,Year1
82,6,Year1
83,4,Year1
84,0,Year1
85,0,Year1
86,8,Year1
87,4,Year1
88,2,Year1
89,13,Year1
90,5,Year1
91,2,Year1
92,0,Year1
93,4,Year1
94,4,Year1
95,0,Year1
96,3,Year1
97,6,Year1
98,1,Year1
99,12,Year1
100,13,Year1
101,3,Year1
102,4,Year1
103,4,Year1
104,0,Year1
105,12,Year1
106,12,Year1
107,5,Year1
108,6,Year1
109,2,Year1
110,0,Year1
111,12,Year1
112,0,Year1
113,5,Year1
114,0,Year1
115,4,Year1
116,4,Year1
117,10,Year1
118,8,Year1
119,0,Year1
120,12,Year1
121,2,Year1
122,11,Year1
123,0,Year1
124,15,Year1
125,2,Year1
126,0,Year1
127,0,Year1
128,16,Year1
129,4,Year1
130,4,Year1
131,4,Year1
132,4,Year1
133,4,Year1
134,4,Year1
135,4,Year1
136,5,Year1
137,0,Year1
138,12,Year1
139,29,Year1
140,4,Year1
141,3,Year1
142,0,Year1
143,6,Year1
144,2,Year1
145,1,Year1
146,4,Year1
147,4,Year1
148,3,Year1
149,8,Year1
150,11,Year1
151,4,Year1
152,4,Year1
153,0,Year1
154,0,Year1
155,6,Year1
156,2,Year1
157,1,Year1
158,4,Year1
159,4,Year1
160,3,Year1
161,8,Year1
162,11,Year1
163,4,Year1
164,4,Year1
165,0,Year1
166,0,Year1
167,4,Year1
168,8,Year1
169,1,Year1
170,5,Year1
171,2,Year1
172,14,Year1
173,1,Year1
174,0,Year1
175,2,Year1
176,10,Year1
177,18,Year2
178,7,Year2
179,7,Year2
180,12,Year2
181,0,Year2
182,10,Year2
183,2,Year2
184,3,Year2
185,0,Year2
186,5,Year2
187,7,Year2
188,0,Year2
189,11,Year2
190,7,Year2
191,6,Year2
192,1,Year2
193,12,Year2
194,4,Year2
195,2,Year2
196,0,Year2
197,5,Year2
198,13,Year2
199,5,Year2
200,2,Year2
201,8,Year2
202,1,Year2
203,4,Year2
204,3,Year2
205,0,Year2
206,4,Year2
207,8,Year2
208,3,Year2
209,8,Year2
210,4,Year2
